date,open_rate
2021/1/1,29017.13
2021/1/2,29385.87
2021/1/3,32238.95
2021/1/4,33124.56
2021/1/5,32118.23
2021/1/6,34132.17
2021/1/7,37018
2021/1/8,39568.97
2021/1/9,40667.31
2021/1/10,40345.45
2021/1/11,38249.15
2021/1/12,35464.84
2021/1/13,33951.84
2021/1/14,37509.79
2021/1/15,39175.95
2021/1/16,36866.7
2021/1/17,35876.44
2021/1/18,35907.27
2021/1/19,36776.81
2021/1/20,35672.63
2021/1/21,35562.1
2021/1/22,30649.78
2021/1/23,32919.75
2021/1/24,32021.63
2021/1/25,32252.22
2021/1/26,31989.37
2021/1/27,32582.38
2021/1/28,30534.2
2021/1/29,33472.71
2021/1/30,34358.91
2021/1/31,34233.67
2021/2/1,33071.96
2021/2/2,33457.59
2021/2/3,35508.39
2021/2/4,37775.15
2021/2/5,37099.17
2021/2/6,38380.16
2021/2/7,38961.88
2021/2/8,38947.5
2021/2/9,46661.92
2021/2/10,46577.81
2021/2/11,44876.86
2021/2/12,48140.92
2021/2/13,47511.67
2021/2/14,47264.79
2021/2/15,48722.15
2021/2/16,47903.65
2021/2/17,49249.21
2021/2/18,52243.7
2021/2/19,51637.65
2021/2/20,56035.91
2021/2/21,55949.96
2021/2/22,57555.22
2021/2/23,54137.31
2021/2/24,49019.07
2021/2/25,49810.52
2021/2/26,46942.54
2021/2/27,46353.42
2021/2/28,45971.98
2021/3/1,45345.04
2021/3/2,49653.39
2021/3/3,48355.17
2021/3/4,50161.55
2021/3/5,48319.7
2021/3/6,48901.1
2021/3/7,49004.78
2021/3/8,50861.16
2021/3/9,52464.53
2021/3/10,55004.17
2021/3/11,56052.74
2021/3/12,57903.42
2021/3/13,57171.97
2021/3/14,61133.29
2021/3/15,59214.19
2021/3/16,55418.6
2021/3/17,57143.13
2021/3/18,59224.6
2021/3/19,57576.82
2021/3/20,58011.62
2021/3/21,58061.59
2021/3/22,57385.63
2021/3/23,54248.03
2021/3/24,54261.81
2021/3/25,52328.64
2021/3/26,51350.7
2021/3/27,55302.59
2021/3/28,55911.48
2021/3/29,55894.92
2021/3/30,57634.97
2021/3/31,58803.69
2021/4/1,58832.52
2021/4/2,58729.82
2021/4/3,58998.02
2021/4/4,56788.37
2021/4/5,58253.4
2021/4/6,59214.38
2021/4/7,57956.03
2021/4/8,55958.8
2021/4/9,58160.12
2021/4/10,58141.58
2021/4/11,60021.15
2021/4/12,60129.34
2021/4/13,59893.75
2021/4/14,63678.91
2021/4/15,63289.6
2021/4/16,63423.99
2021/4/17,61453.2
2021/4/18,60533.44
2021/4/19,56354.54
2021/4/20,55804.25
2021/4/21,56524.31
2021/4/22,53998.33
2021/4/23,51714.29
2021/4/24,51177.77
2021/4/25,50161.13
2021/4/26,49289.24
2021/4/27,54037.24
2021/4/28,55116.11
2021/4/29,54976.18
2021/4/30,53561.73
2021/5/1,57692.92
2021/5/2,57844.85
2021/5/3,56655.55
2021/5/4,57217.29
2021/5/5,53171.11
2021/5/6,57542.06
2021/5/7,56522.36
2021/5/8,57366.12
2021/5/9,59038.53
2021/5/10,58388.1
2021/5/11,55936.71
2021/5/12,56742.64
2021/5/13,49307.71
2021/5/14,49636.79
2021/5/15,49936.54
2021/5/16,46966.03
2021/5/17,46617.47
2021/5/18,43755.62
2021/5/19,42996.83
2021/5/20,37296.17
2021/5/21,40784.18
2021/5/22,37538.2
2021/5/23,37385.87
2021/5/24,34943.23
2021/5/25,38718.74
2021/5/26,38388.15
2021/5/27,39290.06
2021/5/28,38381.74
2021/5/29,35757.61
2021/5/30,34625.56
2021/5/31,35616.92
2021/6/1,37155.1
2021/6/2,36759.4
2021/6/3,37503.35
2021/6/4,39209.89
2021/6/5,36890.37
2021/6/6,35569.43
2021/6/7,35865.87
2021/6/8,33806.94
2021/6/9,33428.89
2021/6/10,37368.4
2021/6/11,36717.35
2021/6/12,37272.28
2021/6/13,35583.32
2021/6/14,39126.5
2021/6/15,40491.78
2021/6/16,40074.6
2021/6/17,38389.25
2021/6/18,38020.34
2021/6/19,35774.75
2021/6/20,35500.01
2021/6/21,35568.35
2021/6/22,31687.12
2021/6/23,32499.61
2021/6/24,33672.45
2021/6/25,34685.97
2021/6/26,31688.06
2021/6/27,32262.91
2021/6/28,34598.86
2021/6/29,34540.41
2021/6/30,35928.32
2021/7/1,35002.37
2021/7/2,33535.81
2021/7/3,33811.57
2021/7/4,34635.75
2021/7/5,35129.36
2021/7/6,33681.94
2021/7/7,34193.83
2021/7/8,33792.02
2021/7/9,32872.8
2021/7/10,33760.34
2021/7/11,33552.33
2021/7/12,34238.16
2021/7/13,33097.65
2021/7/14,32766.84
2021/7/15,32819.62
2021/7/16,31882.05
2021/7/17,31403.13
2021/7/18,31502.5
2021/7/19,31757.82
2021/7/20,30849.35
2021/7/21,29783.56
2021/7/22,32082.58
2021/7/23,32338.57
2021/7/24,33694.11
2021/7/25,34276.66
2021/7/26,35358.67
2021/7/27,37272.62
2021/7/28,39373.03
2021/7/29,40020.76
2021/7/30,40019.43
2021/7/31,42182.65
2021/8/1,41434.08
2021/8/2,39826.29
2021/8/3,39153.98
2021/8/4,38210.64
2021/8/5,39730.2
2021/8/6,40892.42
2021/8/7,42824.6
2021/8/8,44478.28
2021/8/9,43919.12
2021/8/10,46200.83
2021/8/11,45571.8
2021/8/12,45466.75
2021/8/13,44446.81
2021/8/14,47760.52
2021/8/15,47139.43
2021/8/16,47080.02
2021/8/17,45933.37
2021/8/18,44713.71
2021/8/19,44741.67
